Velocity (mm/s),noisy_0,noisy_1,noisy_2,noisy_3,noisy_4,noisy_5,noisy_6,noisy_7,noisy_8,noisy_9,noisy_10,noisy_11,noisy_12,noisy_13,noisy_14,noisy_15,noisy_16,noisy_17,noisy_18,noisy_19,noisy_20,noisy_21,noisy_22,noisy_23,noisy_24,random_noise_0,random_noise_1,random_noise_2,random_noise_3,random_noise_4,random_noise_5,random_noise_6,random_noise_7,random_noise_8,random_noise_9,random_noise_10,random_noise_11,random_noise_12,random_noise_13,random_noise_14,random_noise_15,random_noise_16,random_noise_17,random_noise_18,random_noise_19,random_noise_20,random_noise_21,random_noise_22,random_noise_23,random_noise_24
-20.0,48.1051976836864,47.25164059447178,34.7812680555377,48.255348574323214,37.63641467837608,40.02323558247252,35.422620755697494,47.65597756860797,37.88472817204539,37.33427452657406,45.46299412982414,48.01601181237422,40.21726711713267,32.975062806647834,46.80559986498329,35.41929218349006,38.10922021261368,39.01538230177978,37.81277957664388,38.67774844443119,42.72775597768166,37.0100196644524,36.76572226542823,41.40254770672277,45.44848785795602,38.72216435161885,38.5249464441338,45.18206697965119,40.05442454538651,34.77684298401527,29.60461556406899,34.79349117125636,35.195887870192905,35.37942674492014,38.817242382506436,25.781921496278194,41.460132189394,36.994749498075926,43.49031360179682,45.91054277237281,33.61561386871228,35.67355125134292,40.362238232502534,38.900118356993424,32.741528213309415,37.48864161154757,40.90087296338441,32.146482889106224,31.256788219741708,30.95419225428666
-19.68503937,39.76866432773499,33.58654536082497,36.98021714607596,39.99075478448013,40.37834003396657,35.30257353611962,41.77769896398298,34.47740269541168,43.9909814534917,35.555048405300205,41.69384865600194,35.5762543484383,33.16091127852818,41.92898108894278,37.80774394898901,39.39677383928405,27.986014140607637,25.993426415276023,50.704649205068264,35.243955343148414,38.520574992420144,36.644636139210114,28.383871156739332,37.481670774940405,32.61957796405376,43.601415001123,25.467277768903585,35.472904768250515,47.525197085135844,41.64109209736545,46.66242841201734,35.29074455772489,43.33755947808252,27.533893690973255,32.7616688060318,34.800609082743605,46.62084530076808,41.447270213254534,35.35333958671938,38.678468027098525,36.55685564716434,37.96808382086585,36.48275882405793,31.777021987746593,45.36994957442337,38.917969309346,44.84964434139584,45.30609810027063,30.83052291773939,32.31238229456295
-19.37007874,43.30857505465579,34.10176919029247,24.277180764331888,37.91832707844375,31.24402310423149,52.18010032593019,38.65957934268894,37.52927618483894,25.43329850657831,30.50989446328799,27.88678135125045,34.368193698304445,38.80999291118239,37.05685234891255,38.39170292192924,36.37619552078562,33.69671739215136,41.140618924072285,36.50459989228585,33.79886858033081,39.51320418238084,43.693847147290676,43.93820491331527,32.57771228624691,35.396367578836404,32.19795418861706,41.68846235151209,41.10982100617769,35.71285055800071,49.03344720909661,31.39682312817846,37.82294319078727,40.87672156500088,27.947898195908543,27.789297718798096,32.647371024475646,34.20013043962047,39.44538455746662,38.10798420004344,36.439606519167754,33.14481444467371,38.85813235322887,41.28463491273522,35.01499012965245,44.94094831868042,34.91331111165715,42.34900300095764,42.97406456243468,33.42909794132041,41.391292546712336
-19.05511811,51.026688050178045,30.77836658418932,47.35677183033541,25.94811517788483,41.5724253219479,35.79407695508187,31.84078682082277,39.824408906133236,28.863550049678565,37.25569139177178,37.28318056192804,21.122130060074454,26.94259160395022,40.09506617093113,36.8924173898919,34.26837781415446,37.739698576436595,44.3324757099034,38.31520265055343,34.86569837572637,23.0166347599174,29.655493078466016,35.8720854999815,43.1307392485856,31.280368916654965,33.71560506559793,41.37297769116056,39.74690379282306,31.41439445867764,24.242181552347667,40.20244385279601,32.49462466382268,37.75691315957604,33.84256685270444,34.49108980183868,31.68143549617677,44.354758070714944,29.38287589881123,39.03680888745271,38.08020223447223,43.00159930681635,31.67487804548221,46.632640970840754,34.05936865821306,27.522070435802558,36.07930002444275,32.444517166908085,41.24017678875862,43.813409081298815,48.46306594070902
-18.74015748,48.74354996698332,42.62036355449608,26.37470493828542,35.63782661862002,34.77683954037305,38.00240309125171,22.138333575358008,32.51232447922096,23.30100889723111,35.02087518279245,41.129074120645846,37.28206226131799,41.93442031033291,45.55131721402283,25.086133689073577,38.7720188839955,29.783749249358753,43.66996487799843,40.03758663799873,33.646554622714376,30.704302988699986,41.88703595966387,34.33185933832734,41.619929809896284,30.78994344262336,31.48127426531705,35.92924023718224,38.69242611319527,37.68912068000721,41.7206686877068,36.71228262964121,35.99193994359655,42.07793373708022,36.00337331043147,35.17653323578152,28.642073860716977,33.71844427655149,46.605037828257466,45.201166659700846,41.03009843302727,26.058905416751756,40.792536018859394,35.89691266834958,42.57000692023696,28.357696268089846,29.55830467791782,39.844991853626425,30.8834556132849,36.36582154169459,28.519969515150567
-18.42519685,31.356047631814487,23.26538940158087,32.18408018872756,35.15936764400867,27.645712429289933,46.99506294516286,42.90636087993586,37.33941062552287,52.04983144690773,34.387262847871995,32.927380957565624,35.37398211258028,27.950310285884356,40.57914408110488,38.210709451836635,26.55192900041628,33.53049864554671,48.85333503112618,41.135441726560764,35.83695939858546,40.74629202527071,26.8729958089961,31.203344354347333,30.905139188434294,28.536877821413317,35.969175344535984,38.98779695953834,36.99550828345578,46.58125984677192,40.18113959321399,39.18356371372231,32.66465615737465,40.88305061270275,38.88468774068168,29.498068540841814,42.247312738908015,32.63063527835126,43.3749520380229,47.25745053848679,52.129714758573485,34.474292599441924,30.972391980896607,35.89701297477155,34.804166100895614,26.84906656862686,21.461550466246166,36.25125105048956,48.31114313455722,44.00977110190771,38.75598078299875
-18.11023622,43.12707656761764,47.9822289084806,40.394983539615396,36.81727514708306,33.365768983963775,31.768047188663758,44.20826046218357,37.317322792818324,47.878520991460704,28.053028373548635,38.94483526136143,34.04436704528944,37.35408489940516,45.57137865796768,28.151769242739327,30.627882711468356,31.891970629091016,36.64037117431263,43.48639169165079,43.64792142281169,43.06220217897902,36.0650883140022,42.93605961324045,35.077324251469285,40.770918019747015,33.54005364518349,37.14990132604166,36.23219078476229,39.385653320371446,42.01188782126442,26.782520728069258,32.579589414800246,46.319587948333684,36.41441879793374,39.095011164613126,44.346614709769334,35.280721736045955,39.02402746277591,34.46092488019611,25.61774472373484,51.33375499175162,36.38859944031224,46.97589770891719,40.37124645398284,48.68397055693113,39.097343036994545,36.88044847505906,31.139755747340114,24.650924402474466,39.402448003877694
-17.79527559,36.39989543970309,32.674088379247095,29.716649650568733,33.494005980700926,40.981521697162464,33.71005841604536,28.074415329238565,26.604307236705175,50.793079911295465,34.32566870245259,37.98775984398452,39.25151160897062,36.59007779841246,42.5860675728455,38.61434410566377,30.67901443124544,40.37262781465871,35.11237824093717,39.733212989119046,40.872641671838714,31.346676823167517,35.8915085020739,30.58208071871298,30.37541492268764,39.131274125927646,48.55640703061141,26.577117127193507,38.81111364738284,35.48014268876676,42.716247477828226,47.011837897208025,48.626374102831385,47.48891177267892,49.61262652834094,43.31510704767968,44.47226911838809,37.89569327812649,34.5867895268497,29.694135994111925,22.526772766962363,40.3139471643257,42.15319900917543,42.01623907877719,49.609062625774776,37.86263124948577,31.991938931084384,33.871492899027515,42.359530251241594,41.60810570541196,38.74013045316935
-17.48031496,36.69860819544582,39.27850581967742,30.865409890919107,37.06153251992328,39.35922156227054,38.475463293075926,47.34493768123933,43.546904494731514,42.18546290295292,35.858749090449066,37.35547096002184,39.901773038052895,32.39878016366572,46.36367646067962,33.91874855833167,35.464733440278,32.52149346646282,38.23762118340906,35.27400697963266,38.8714404042396,40.40305572813613,44.2219484312091,41.15698028683493,29.25123817457424,27.392300600662153,24.783034397402645,32.47474639803958,42.34384821369807,32.203715841073,42.26866386462663,38.14800332174864,33.016549297253135,35.73180774581532,36.736186887687005,40.24743882717686,32.42752675327501,28.911170542431158,43.2047534280834,35.73640146867455,41.27611613887634,41.666965709189284,29.83578428584702,34.459189842706174,45.04311048825444,37.00783274347388,39.73513731387022,36.75646421258371,35.527298894348704,47.558913539354265,37.266858633356165
-17.16535433,39.83629024026018,35.804119018543645,31.773973984893956,34.41205222813895,30.317014506000305,35.312295676223165,34.70118736857889,40.996510665163754,43.29326171279769,33.368957140859045,36.26093769197969,30.81723292039959,54.87346001424289,30.940805550464216,43.95376231255585,34.43325058648859,38.053162091510394,34.65298507364011,33.38142689706501,28.392054877525055,39.81072731114895,37.250541850611164,33.89703567248382,48.155539150213414,38.669145828042566,42.63421726556065,41.13149084405419,44.763241542103046,34.16435855634817,31.540680882102123,30.56503129032116,36.801817227521404,33.11994550126014,39.90699494269145,40.08183082275369,41.74156818779527,38.71998857161246,32.271307612227204,36.4260242372424,38.55859473880736,43.776419917916456,31.53553572083606,40.64233937180101,34.6440641784457,40.721224346732434,43.040644661148434,42.56528868331569,33.707729433113165,34.899939777173344,48.34833284121885
